seller,seller_URL,items_no,sales_no,admirers_no,year_join,metrics
RancorRider,https://www.etsy.com/uk/shop/RancorRider?ref=shop-header-name&listing_id=1215867184&from_page=listing,153,5385,596,2022,"['Smooth dispatch', 'Rave reviews']"
RandomButQuality,https://www.etsy.com/uk/shop/RandomButQuality?ref=shop-header-name&listing_id=1164131723&from_page=listing,53,2139,402,Not known,"['Speedy replies', 'Rave reviews']"
RandomTuesday,https://www.etsy.com/uk/shop/RandomTuesday?ref=shop-header-name&listing_id=1135037919&from_page=listing,31,723,3614,Not known,['Rave reviews']
RavenLaboratories,https://www.etsy.com/uk/shop/RavenLaboratories?ref=shop-header-name&listing_id=1482073106&from_page=listing,153,6594,2943,2021,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
Re3dCosplay,https://www.etsy.com/uk/shop/Re3dCosplay?ref=shop-header-name&listing_id=1313202509&from_page=listing,0,2947,0,Not known,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
Reality2Robots,https://www.etsy.com/uk/shop/Reality2Robots?ref=shop-header-name&listing_id=1271422311&from_page=listing,11,0,54,Not known,"['Speedy replies', 'Rave reviews']"
ReconService,https://www.etsy.com/uk/shop/ReconService?ref=shop-header-name&listing_id=991271493&from_page=listing,17,66,750,2019,"['Speedy replies', 'Rave reviews']"
RedAdmiralCreationss,https://www.etsy.com/uk/shop/RedAdmiralCreationss?ref=shop-header-name&listing_id=822535800&from_page=listing,8,590,136,Not known,None
ReddoStore,https://www.etsy.com/uk/shop/ReddoStore?ref=shop-header-name&listing_id=1645595792&from_page=listing,90,128,106,2020,"['Smooth dispatch', 'Speedy replies']"
ReginaCosplayShop,https://www.etsy.com/uk/shop/ReginaCosplayShop?ref=shop-header-name&listing_id=1617897349&from_page=listing,50,424,63,2023,None
ReindeerHub,https://www.etsy.com/uk/shop/ReindeerHub?ref=shop-header-name&listing_id=802331592&from_page=listing,"1,582",222,5656,2019,"['Speedy replies', 'Rave reviews']"
ReliantSalesFoam,https://www.etsy.com/uk/shop/ReliantSalesFoam?ref=shop-header-name&listing_id=1264081675&from_page=listing,24,8808,36,2020,"['Smooth dispatch', 'Rave reviews']"
ReplicaCosplayProps,https://www.etsy.com/uk/shop/ReplicaCosplayProps?ref=shop-header-name&listing_id=783636128&from_page=listing,16,495,808,Not known,None
ReplicateCreations,https://www.etsy.com/uk/shop/ReplicateCreations?ref=shop-header-name&listing_id=1664580002&from_page=listing,6,2172,5,Not known,None
RetroLicker,https://www.etsy.com/uk/shop/RetroLicker?ref=shop-header-name&listing_id=1702137223&from_page=listing,184,13,3554,2013,None
RetroNano,https://www.etsy.com/uk/shop/RetroNano?ref=shop-header-name&listing_id=565110544&from_page=listing,26,7695,1402,2016,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
RexyStudios,https://www.etsy.com/uk/shop/RexyStudios?ref=shop-header-name&listing_id=1539636222&from_page=listing,15,23413,438,Not known,"['Speedy replies', 'Rave reviews']"
Riancydcosplay,https://www.etsy.com/uk/shop/Riancydcosplay?ref=shop-header-name&listing_id=1678143985&from_page=listing,2,1338,8,Not known,None
RiotWolf,https://www.etsy.com/uk/shop/RiotWolf?ref=shop-header-name&listing_id=1413719749&from_page=listing,2,2,424,2019,None
RivaPattern,https://www.etsy.com/uk/shop/RivaPattern?ref=shop-header-name&listing_id=1669658981&from_page=listing,203,400,1481,2023,['Speedy replies']
RnMoMo,https://www.etsy.com/uk/shop/RnMoMo?ref=shop-header-name&listing_id=254185561&from_page=listing,277,5523,12937,Not known,"['Smooth dispatch', 'Rave reviews']"
RoDMakers,https://www.etsy.com/uk/shop/RoDMakers?ref=shop-header-name&listing_id=1179326518&from_page=listing,57,23691,606,2020,"['Speedy replies', 'Rave reviews']"
Rocketk1dShop,https://www.etsy.com/uk/shop/Rocketk1dShop?ref=shop-header-name&listing_id=1316059718&from_page=listing,155,34,348,2021,"['Speedy replies', 'Rave reviews']"
RoeProps,https://www.etsy.com/uk/shop/RoeProps?ref=shop-header-name&listing_id=1592358391&from_page=listing,20,1145,385,Not known,"['Smooth dispatch', 'Speedy replies']"
RoleProps,https://www.etsy.com/uk/shop/RoleProps?ref=shop-header-name&listing_id=1691934763&from_page=listing,184,638,1298,Not known,['Speedy replies']
RoorkeeInternational,https://www.etsy.com/shop/RoorkeeInternational?ref=shop-header-name&listing_id=1082352331&from_page=listing,96,2046,239,2020,"['Smooth dispatch', 'Speedy replies']"
RougeOneCosplay,https://www.etsy.com/uk/shop/RougeOneCosplay?ref=shop-header-name&listing_id=1405624354&from_page=listing,59,714,1989,2017,"['Speedy replies', 'Rave reviews']"
RoyalEnchantments,https://www.etsy.com/uk/shop/RoyalEnchantments?ref=shop-header-name&listing_id=1633039381&from_page=listing,58,7452,8824,2012,"['Smooth dispatch', 'Speedy replies', 'Rave reviews']"
RuffRabbitCreations,https://www.etsy.com/uk/shop/RuffRabbitCreations?ref=shop-header-name&listing_id=639880766&from_page=listing,5,12356,118,2017,None
RunningCabinet,https://www.etsy.com/uk/shop/RunningCabinet?ref=shop-header-name&listing_id=1583005531&from_page=listing,39,332,1214,2023,['Smooth dispatch']
RyujinsMysticalWares,https://www.etsy.com/uk/shop/RyujinsMysticalWares?ref=shop-header-name&listing_id=1671424434&from_page=listing,2,1371,23,Not known,"['Smooth dispatch', 'Rave reviews']"
SADDstudio,https://www.etsy.com/uk/shop/SADDstudio?ref=shop-header-name&listing_id=1257325426&from_page=listing,17,53,135,Not known,['Smooth dispatch']
SANDERJEWELRY,https://www.etsy.com/uk/shop/SANDERJEWELRY?ref=shop-header-name&listing_id=747916712&from_page=listing,93,329,483,2015,['Speedy replies']
SEMECos,https://www.etsy.com/uk/shop/SEMECos?ref=shop-header-name&listing_id=1357548718&from_page=listing,127,310,331,Not known,['Speedy replies']
SEMECosplay,https://www.etsy.com/uk/shop/SEMECosplay?ref=shop-header-name&listing_id=725122219&from_page=listing,17,516,2092,2018,"['Speedy replies', 'Rave reviews']"
SICmasksStore,https://www.etsy.com/uk/shop/SICmasksStore?ref=shop-header-name&listing_id=1580205647&from_page=listing,29,3392,334,Not known,None
SJCOSPLAYS,https://www.etsy.com/uk/shop/SJCOSPLAYS?ref=shop-header-name&listing_id=742383632&from_page=listing,67,1135,1585,2018,None
